Since then, there has only been one Germany;Seitdem gab es nur noch ein Deutschland
As long as the wall stood, Germany was divided;Solange die Mauer stand, war Deutschland geteilt
Do you know any other famous sayings, either in German or in another language?;Kennst du noch andere geflügelte Worte, entweder auf Deutsch oder einer anderen Sprache?
Reproduce the text in your own words;Gib den Text in deinen eigenen Worten wieder
Life [and] Enlightenment;Leben Aufklärung
Philosophy [and] Understanding/Mind;Philosophie Verstand
Golden Rule;Goldene Regel
Do unto others as you would have them do unto you;Was du nicht willst, das man dir tut, das füg auch keinem anderen zu
Tell a situation from your life that fits this statement;Erzähle eine Situation aus deinem Leben, zu der diese Aussage passt
Discuss how relevant Kant's ideas still are today;Diskutiert, wie aktuell Kants Ideen heute noch sind
Find a current example for Kant's ideas;Findet ein aktuelles Beispiel für Kants Ideen
Reason;Vernunft
To earn;verdienen
Influenced;beeinflusst
Fear;Angst
Become;geworden
Adult;Erwachsener
Many people are afraid of dying;Viele Menschen haben Angst vor dem Sterben
As an adult, one has to take responsibility and earn money;Als Erwachsener muss man Verantwortung übernehmen und Geld verdienen
I am interested in studying abroad;Ich interessiere mich für ein Studium im Ausland
My new friend influences me positively;Meine neue Freundin beeinflusst mich positiv
The laptop was shut down quickly;Der Laptop wurde schnell heruntergefahren
This technology simply cannot be replaced by anything!;Diese Technik lässt sich einfach durch nichts ersetzen!
One day;Ein Tag
Which of the following things can be done well in a day?;Welche der folgenden Dinge lassen sich gut an einem Tag machen?
Form complete sentences;Bilde ganze Sätze
Wash car;Auto waschen
Build house;Haus bauen
Learn a new language;eine neue Sprache lernen
Write book;Buch schreiben
Bake bread;Brot backen
Set table;Tisch decken
Clean windows;Fenster putzen
'Lassen' as a full verb without an infinitive;Lassen als Vollverb ohne Infinitiv
'Lassen' as an auxiliary verb;Lassen als Hilfsverb
Listen carefully and complete the words;Hör gut zu und komplettiere die Wörter
Book printing;Buchdruck
Forest;Wald
Revolution;Revolution
Wine;Wein
Version;Version
Before/Previously;vorher
Sweater;Pullover
Related;verwandt
To live/reside;wohnen
Nowadays;heutzutage
Earlier/In the past;früher
After;nachdem
The event;das Ereignis
The youth;die Jugend
The childhood;die Kindheit
The biography;die Biografie
Do you still remember all the words?;Erinnerst du dich noch an alle Wörter?
Do you know all the events?;Kennst du alle Ereignisse?
The discovery of penicillin;die Entdeckung des Penicillins
The invention of the printing press;die Erfindung des Buchdrucks
The reunification of Germany;die Wiedervereinigung Deutschlands
The fall of the Berlin Wall;der Fall der Berliner Mauer
The liberation of Germany in the Second World War;die Befreiung Deutschlands im Zweiten Weltkrieg
The French Revolution;die Französische Revolution
Kant's revolutionary philosophy;Kants revolutionäre Philosophie
